"Time","well","absorbance","plate","strain","plasmid","row","column","stress","temperature","doxycycline","well_id"
0,"B5",0.133,1,"Tet-O7-ERG6","pRS315-ScerERG6","B",5,"0.005% SDS",37,"10 µg/mL","B5_1"
0,"B6",0.146,1,"Tet-O7-ERG6","pRS315-ScerERG6","B",6,"0.005% SDS",37,"10 µg/mL","B6_1"
0,"B7",0.123,1,"▲erg3","pRS315-ScerERG3","B",7,"0.005% SDS",37,"None","B7_1"
0,"B8",0.123,1,"▲erg3","pRS315-ScerERG3","B",8,"0.005% SDS",37,"None","B8_1"
0,"B9",0.127,1,"▲erg3","pRS315-ScerERG3","B",9,"0.005% SDS",37,"None","B9_1"
0,"B10",0.119,1,"▲erg6","pRS315-ScerERG6","B",10,"0.005% SDS",37,"None","B10_1"
0,"B11",0.121,1,"▲erg6","pRS315-ScerERG6","B",11,"0.005% SDS",37,"None","B11_1"
0,"B12",0.115,1,"▲erg6","pRS315-ScerERG6","B",12,"0.005% SDS",37,"None","B12_1"
0,"C1",0.138,1,"Tet-O7-ERG3","pRS315-CalbERG3","C",1,"0.005% SDS",37,"10 µg/mL","C1_1"
0,"C2",0.156,1,"Tet-O7-ERG3","pRS315-CalbERG3","C",2,"0.005% SDS",37,"10 µg/mL","C2_1"
0,"C3",0.134,1,"Tet-O7-ERG3","pRS315-CalbERG3","C",3,"0.005% SDS",37,"10 µg/mL","C3_1"
0,"C4",0.126,1,"Tet-O7-ERG6","pRS315-CalbERG6","C",4,"0.005% SDS",37,"10 µg/mL","C4_1"
0,"C5",0.121,1,"Tet-O7-ERG6","pRS315-CalbERG6","C",5,"0.005% SDS",37,"10 µg/mL","C5_1"
0,"C6",0.123,1,"Tet-O7-ERG6","pRS315-CalbERG6","C",6,"0.005% SDS",37,"10 µg/mL","C6_1"
0,"C7",0.124,1,"▲erg3","pRS315-CalbERG3","C",7,"0.005% SDS",37,"None","C7_1"
0,"C8",0.132,1,"▲erg3","pRS315-CalbERG3","C",8,"0.005% SDS",37,"None","C8_1"
0,"C9",0.128,1,"▲erg3","pRS315-CalbERG3","C",9,"0.005% SDS",37,"None","C9_1"
0,"C10",0.119,1,"▲erg6","pRS315-CalbERG6","C",10,"0.005% SDS",37,"None","C10_1"
0,"C11",0.13,1,"▲erg6","pRS315-CalbERG6","C",11,"0.005% SDS",37,"None","C11_1"
0,"C12",0.118,1,"▲erg6","pRS315-CalbERG6","C",12,"0.005% SDS",37,"None","C12_1"
0,"D1",0.143,1,"Tet-O7-ERG3","pRS315-CaurERG3","D",1,"0.005% SDS",37,"10 µg/mL","D1_1"
0,"D2",0.146,1,"Tet-O7-ERG3","pRS315-CaurERG3","D",2,"0.005% SDS",37,"10 µg/mL","D2_1"
0,"D3",0.15,1,"Tet-O7-ERG3","pRS315-CaurERG3","D",3,"0.005% SDS",37,"10 µg/mL","D3_1"
0,"D4",0.132,1,"Tet-O7-ERG6","pRS315-CaurERG6","D",4,"0.005% SDS",37,"10 µg/mL","D4_1"
0,"D5",0.13,1,"Tet-O7-ERG6","pRS315-CaurERG6","D",5,"0.005% SDS",37,"10 µg/mL","D5_1"
0,"D6",0.137,1,"Tet-O7-ERG6","pRS315-CaurERG6","D",6,"0.005% SDS",37,"10 µg/mL","D6_1"
0,"D7",0.122,1,"▲erg3","pRS315-CaurERG3","D",7,"0.005% SDS",37,"None","D7_1"
0,"D8",0.125,1,"▲erg3","pRS315-CaurERG3","D",8,"0.005% SDS",37,"None","D8_1"
0,"D9",0.12,1,"▲erg3","pRS315-CaurERG3","D",9,"0.005% SDS",37,"None","D9_1"
0,"D10",0.12,1,"▲erg6","pRS315-CaurERG6","D",10,"0.005% SDS",37,"None","D10_1"
0,"D11",0.122,1,"▲erg6","pRS315-CaurERG6","D",11,"0.005% SDS",37,"None","D11_1"
0,"D12",0.125,1,"▲erg6","pRS315-CaurERG6","D",12,"0.005% SDS",37,"None","D12_1"
0,"E1",0.132,1,"Tet-O7-ERG3","pRS315-NglaERG3","E",1,"0.005% SDS",37,"10 µg/mL","E1_1"
0,"E2",0.138,1,"Tet-O7-ERG3","pRS315-NglaERG3","E",2,"0.005% SDS",37,"10 µg/mL","E2_1"
0,"E3",0.134,1,"Tet-O7-ERG3","pRS315-NglaERG3","E",3,"0.005% SDS",37,"10 µg/mL","E3_1"
0,"E4",0.132,1,"Tet-O7-ERG6","pRS315-NglaERG6","E",4,"0.005% SDS",37,"10 µg/mL","E4_1"
0,"E5",0.127,1,"Tet-O7-ERG6","pRS315-NglaERG6","E",5,"0.005% SDS",37,"10 µg/mL","E5_1"
0,"E6",0.127,1,"Tet-O7-ERG6","pRS315-NglaERG6","E",6,"0.005% SDS",37,"10 µg/mL","E6_1"
0,"E7",0.126,1,"▲erg3","pRS315-NglaERG3","E",7,"0.005% SDS",37,"None","E7_1"
0,"E8",0.123,1,"▲erg3","pRS315-NglaERG3","E",8,"0.005% SDS",37,"None","E8_1"
0,"E9",0.129,1,"▲erg3","pRS315-NglaERG3","E",9,"0.005% SDS",37,"None","E9_1"
0,"E10",0.12,1,"▲erg6","pRS315-NglaERG6","E",10,"0.005% SDS",37,"None","E10_1"
0,"E11",0.119,1,"▲erg6","pRS315-NglaERG6","E",11,"0.005% SDS",37,"None","E11_1"
0,"E12",0.12,1,"▲erg6","pRS315-NglaERG6","E",12,"0.005% SDS",37,"None","E12_1"
0,"F1",0.14,1,"Tet-O7-ERG3","pRS315-CparERG3","F",1,"0.005% SDS",37,"10 µg/mL","F1_1"
0,"F2",0.131,1,"Tet-O7-ERG3","pRS315-CparERG3","F",2,"0.005% SDS",37,"10 µg/mL","F2_1"
0,"F3",0.135,1,"Tet-O7-ERG3","pRS315-CparERG3","F",3,"0.005% SDS",37,"10 µg/mL","F3_1"
0,"F4",0.135,1,"Tet-O7-ERG6","pRS315-CparERG6","F",4,"0.005% SDS",37,"10 µg/mL","F4_1"
0,"F5",0.127,1,"Tet-O7-ERG6","pRS315-CparERG6","F",5,"0.005% SDS",37,"10 µg/mL","F5_1"
0,"F6",0.131,1,"Tet-O7-ERG6","pRS315-CparERG6","F",6,"0.005% SDS",37,"10 µg/mL","F6_1"
0,"F7",0.123,1,"▲erg3","pRS315-CparERG3","F",7,"0.005% SDS",37,"None","F7_1"
0,"F8",0.125,1,"▲erg3","pRS315-CparERG3","F",8,"0.005% SDS",37,"None","F8_1"
0,"F9",0.129,1,"▲erg3","pRS315-CparERG3","F",9,"0.005% SDS",37,"None","F9_1"
0,"F10",0.119,1,"▲erg6","pRS315-CparERG6","F",10,"0.005% SDS",37,"None","F10_1"
0,"F11",0.123,1,"▲erg6","pRS315-CparERG6","F",11,"0.005% SDS",37,"None","F11_1"
0,"F12",0.117,1,"▲erg6","pRS315-CparERG6","F",12,"0.005% SDS",37,"None","F12_1"
0,"G1",0.101,1,"Tet-O7-ERG3","pRS315-CtroERG3","G",1,"0.005% SDS",37,"10 µg/mL","G1_1"
0,"G2",0.108,1,"Tet-O7-ERG3","pRS315-CtroERG3","G",2,"0.005% SDS",37,"10 µg/mL","G2_1"
0,"G3",0.104,1,"Tet-O7-ERG3","pRS315-CtroERG3","G",3,"0.005% SDS",37,"10 µg/mL","G3_1"
0,"G4",0.104,1,"Tet-O7-ERG6","pRS315-CtroERG6","G",4,"0.005% SDS",37,"10 µg/mL","G4_1"
0,"G5",0.102,1,"Tet-O7-ERG6","pRS315-CtroERG6","G",5,"0.005% SDS",37,"10 µg/mL","G5_1"
0,"G6",0.102,1,"Tet-O7-ERG6","pRS315-CtroERG6","G",6,"0.005% SDS",37,"10 µg/mL","G6_1"
0,"G7",0.098,1,"▲erg3","pRS315-CtroERG3","G",7,"0.005% SDS",37,"None","G7_1"
0,"G8",0.102,1,"▲erg3","pRS315-CtroERG3","G",8,"0.005% SDS",37,"None","G8_1"
0,"G9",0.107,1,"▲erg3","pRS315-CtroERG3","G",9,"0.005% SDS",37,"None","G9_1"
0,"G10",0.102,1,"▲erg6","pRS315-CtroERG6","G",10,"0.005% SDS",37,"None","G10_1"
