"","ortholog1","ortholog2","percent_id"
"1","ScerERG6","ScerERG6",100
"2","ScerERG6","CalbERG6",64.5
"3","ScerERG6","CaurERG6",65.4
"4","ScerERG6","NglaERG6",81.5
"5","ScerERG6","CparERG6",66.7
"6","ScerERG6","CtroERG6",64
"7","CalbERG6","ScerERG6",64.5
"8","CalbERG6","CalbERG6",100
"9","CalbERG6","CaurERG6",86.1
"10","CalbERG6","NglaERG6",64.2
"11","CalbERG6","CparERG6",90.2
"12","CalbERG6","CtroERG6",88.3
"13","CaurERG6","ScerERG6",65.4
"14","CaurERG6","CalbERG6",86.1
"15","CaurERG6","CaurERG6",100
"16","CaurERG6","NglaERG6",64.9
"17","CaurERG6","CparERG6",84.8
"18","CaurERG6","CtroERG6",85.3
"19","NglaERG6","ScerERG6",81.5
"20","NglaERG6","CalbERG6",64.2
"21","NglaERG6","CaurERG6",64.9
"22","NglaERG6","NglaERG6",100
"23","NglaERG6","CparERG6",67.1
"24","NglaERG6","CtroERG6",63.3
"25","CparERG6","ScerERG6",66.7
"26","CparERG6","CalbERG6",90.2
"27","CparERG6","CaurERG6",84.8
"28","CparERG6","NglaERG6",67.1
"29","CparERG6","CparERG6",100
"30","CparERG6","CtroERG6",85.6
"31","CtroERG6","ScerERG6",64
"32","CtroERG6","CalbERG6",88.3
"33","CtroERG6","CaurERG6",85.3
"34","CtroERG6","NglaERG6",63.3
"35","CtroERG6","CparERG6",85.6
"36","CtroERG6","CtroERG6",100
