"","ortholog1","ortholog2","percent_id"
"1","ScerERG11","ScerERG11",100
"2","ScerERG11","CalbERG11",65.4
"3","ScerERG11","CaurERG11",66.5
"4","ScerERG11","NglaERG11",83.4
"5","ScerERG11","CparERG11",65.6
"6","ScerERG11","CtroERG11",65.8
"7","ScerERG11","AfumCYP51A",48.9
"8","ScerERG11","AfumCYP51B",48.6
"9","CalbERG11","ScerERG11",65.4
"10","CalbERG11","CalbERG11",100
"11","CalbERG11","CaurERG11",71.1
"12","CalbERG11","NglaERG11",64.5
"13","CalbERG11","CparERG11",74.7
"14","CalbERG11","CtroERG11",83
"15","CalbERG11","AfumCYP51A",47.8
"16","CalbERG11","AfumCYP51B",47.9
"17","CaurERG11","ScerERG11",66.5
"18","CaurERG11","CalbERG11",71.1
"19","CaurERG11","CaurERG11",100
"20","CaurERG11","NglaERG11",65.2
"21","CaurERG11","CparERG11",71.8
"22","CaurERG11","CtroERG11",71.1
"23","CaurERG11","AfumCYP51A",49.7
"24","CaurERG11","AfumCYP51B",49.3
"25","NglaERG11","ScerERG11",83.4
"26","NglaERG11","CalbERG11",64.5
"27","NglaERG11","CaurERG11",65.2
"28","NglaERG11","NglaERG11",100
"29","NglaERG11","CparERG11",66
"30","NglaERG11","CtroERG11",64.3
"31","NglaERG11","AfumCYP51A",47.5
"32","NglaERG11","AfumCYP51B",49.2
"33","CparERG11","ScerERG11",65.6
"34","CparERG11","CalbERG11",74.7
"35","CparERG11","CaurERG11",71.8
"36","CparERG11","NglaERG11",66
"37","CparERG11","CparERG11",100
"38","CparERG11","CtroERG11",75.5
"39","CparERG11","AfumCYP51A",49.1
"40","CparERG11","AfumCYP51B",48.1
"41","CtroERG11","ScerERG11",65.8
"42","CtroERG11","CalbERG11",83
"43","CtroERG11","CaurERG11",71.1
"44","CtroERG11","NglaERG11",64.3
"45","CtroERG11","CparERG11",75.5
"46","CtroERG11","CtroERG11",100
"47","CtroERG11","AfumCYP51A",48.8
"48","CtroERG11","AfumCYP51B",49
"49","AfumCYP51A","ScerERG11",48.9
"50","AfumCYP51A","CalbERG11",47.8
"51","AfumCYP51A","CaurERG11",49.7
"52","AfumCYP51A","NglaERG11",47.5
"53","AfumCYP51A","CparERG11",49.1
"54","AfumCYP51A","CtroERG11",48.8
"55","AfumCYP51A","AfumCYP51A",100
"56","AfumCYP51A","AfumCYP51B",63.4
"57","AfumCYP51B","ScerERG11",48.6
"58","AfumCYP51B","CalbERG11",47.9
"59","AfumCYP51B","CaurERG11",49.3
"60","AfumCYP51B","NglaERG11",49.2
"61","AfumCYP51B","CparERG11",48.1
"62","AfumCYP51B","CtroERG11",49
"63","AfumCYP51B","AfumCYP51A",63.4
"64","AfumCYP51B","AfumCYP51B",100
